what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1302978374324
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302978378671
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302978378811
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302978378952
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302978379058
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302978382814
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302978384856
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1302978391632
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302978397630
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302978398512
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978399001
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978419121
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1302978421250
activated,editor,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.editor",1302978422999
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302978423766
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1302978424298
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302978440297
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978440617
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978447676
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302978452733
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978453111
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978458808
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1302978459720
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1302978460814
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302978461616
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978462029
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978537381
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302978540466
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1302978540577
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302978544804
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302978552854
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978553085
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978653271
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302978655912
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302978658346
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1302978664239
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302978667115
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302978667256
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302978667396
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1302978669473
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1302978677277
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302978681586
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302978682600
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302978698364
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978699075
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978707795
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978708363
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978722603
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1302978726496
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1302978726954
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302978730839
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302978731229
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302978732032
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1302978732850
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1302978733311
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302978737098
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302978737284
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302978737888
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302978750106
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978761951
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978764479
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978765544
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978800836
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1302978850648
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978874775
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978884062
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978885134
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978909404
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978912228
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978913769
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302978914333
